msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20180929_0100	0	False	Spot_0	unknown	unknown	1	9.135000408	59.87400055	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0100', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0101	0	True	Spot_0	SV	unknown	1	4.0609999	35.5189991	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0101', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0102	0	True	Spot_0	CSW	unknown	1	3.045999929	38.56400013	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0102', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0103	0	True	Spot_0	SV	unknown	1	5.076000094	39.57800031	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0103', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0104	0	True	Spot_0	QC MIX22	unknown	1	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0104', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0105	0	True	Spot_0	WB	unknown	1	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0105', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0106	0	True	Spot_0	ULW GP	unknown	1	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0106', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0107	0	True	Spot_0	ULW GP	unknown	1	7.106000036	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0107', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0108	0	True	Spot_0	ULW GP	unknown	1	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0108', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0109	0	True	Spot_0	SV	unknown	1	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0109', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0110	0	True	Spot_0	SML GP	unknown	1	9.135000408	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0110', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0111	0	True	Spot_0	SML GP	unknown	1	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0111', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0112	0	True	Spot_0	SML GP	unknown	1	10.15000016	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0112', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0200	0	False	Spot_0	unknown	unknown	2	2.030999959	59.87400055	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0200', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
